RESPONS_ID,WORLD_ID,WORLD_LAB,REGION_ID,REGION_LAB,TOT_AREA,LAND_AREA,RN_SITES,EXP_10000,EXP_08000,EXP_06000,EXP_04000,EXP_03000,EXP_02000,EXP_01000,EXP_00500,EXP_00250,EXP_00150,DQ_10000,DQ_08000,DQ_06000,DQ_04000,DQ_03000,DQ_02000,DQ_01000,DQ_00500,DQ_00250,DQ_00150,HUNT_10000,EXAG_10000,INAG_10000,PAST_10000,HUNT_08000,EXAG_08000,INAG_08000,PAST_08000,HUNT_06000,EXAG_06000,INAG_06000,PAST_06000,HUNT_04000,EXAG_04000,INAG_04000,PAST_04000,HUNT_03000,EXAG_03000,INAG_03000,PAST_03000,HUNT_02000,EXAG_02000,INAG_02000,PAST_02000,HUNT_01000,EXAG_01000,INAG_01000,PAST_01000,HUNT_00500,EXAG_00500,INAG_00500,PAST_00500,HUNT_00250,EXAG_00250,INAG_00250,PAST_00250,HUNT_00150,EXAG_00150,INAG_00150,PAST_00150,URBN_10000,URBN_08000,URBN_06000,URBN_04000,URBN_03000,URBN_02000,URBN_01000,URBN_00500,URBN_00250,URBN_00150
RTDEL,1,Northern North America + Greenland,1,Alaska,1499260,1492600,500-999,Low,High,High,High,High,High,High,High,High,High,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),minimal (<1%),minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RZCHA,1,Northern North America + Greenland,1,Alaska,1499260,1492600,250-499,High,High,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Unknown,Unknown,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,minimal (<1%),minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RRSIS,1,Northern North America + Greenland,1,Alaska,1499260,1492600,250-499,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,minimal (<1%),minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RDTVQ,1,Northern North America + Greenland,1,Alaska,1499260,1492600,50-249,High,High,High,High,High,High,High,High,High,High,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RATEQ,1,Northern North America + Greenland,1,Alaska,1499260,1492600,> 1000,High,High,High,High,High,High,High,Low,Low,Low,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),minimal (<1%),minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RIJZG,1,Northern North America + Greenland,1,Alaska,1499260,1492600,> 1000,High,High,Low,Low,Low,None,None,None,None,None,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RHOCY,1,Northern North America + Greenland,1,Alaska,1499260,1492600,500-999,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,minimal (<1%),widespread (>20%),none,none,minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RVBZR,1,Northern North America + Greenland,2,Yukon Territory,482548,482179,250-499,High,High,Low,Low,Low,Low,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Good,Good,Good,Good,none,none,none,none,common (1-20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),minimal (<1%),none,none,widespread (>20%),common (1-20%),none,common (1-20%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RTLGE,1,Northern North America + Greenland,2,Yukon Territory,482548,482179,50-249,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,none,none,widespread (>20%),none,minimal (<1%),minimal (<1%),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
RYUNI,1,Northern North America + Greenland,2,Yukon Territory,482548,482179,50-249,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,minimal (<1%),none,none,none,minimal (<1%),none,none,none,minimal (<1%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,common (1-20%),none,none,none,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
